"","rawp","q.value","Bonferroni","R.fold"
"PLSCR1",0,0,0,1.58670583596895
"KIF14",0,0,0,1.58649838614183
"PMP22",0,0,0,1.58647721908761
"ZBED2",0,0,0,1.58630475568094
"TUBA1A",0,0,0,1.5858107363845
"PRR5L",0,0,0,1.58571365674054
"CD226",0,0,0,1.58554090043118
"TMEM156",0,0,0,1.58506788709851
"PMCH",0,0,0,1.58481651050981
"RNF19A",0,0,0,1.58461756756785
"CCNE2",0,0,0,1.58448830246693
"RBMS1",0,0,0,1.58444775408824
"TAPBPL",0,0,0,1.58417676805676
"PDLIM1",0,0,0,1.58382954360661
"CDKN1B",0,0,0,1.58365373781868
"BCL6",0,0,0,1.58324909963133
"CD6",0,0,0,1.58174635009064
"LFNG",0,0,0,1.58157241253007
"NAGK",0,0,0,1.58039514341549
"RIPK4",0,0,0,1.57852985579888
"NABP1",0,0,0,1.57736643887764
"HIST1H2BG",0,0,0,1.57670042918767
"NTM",0,0,0,1.57639660051845
"SAT1",0,0,0,1.57598706784946
"TIPARP",0,0,0,1.57538385804659
"FNTA",0,0,0,1.57536562691068
"HSP90AA1",0,0,0,1.57456348870111
"NR3C1",0,0,0,1.57382184600721
"ZNF217",0,0,0,1.57327554684775
"CCND2",0,0,0,1.57271228082248
"TSC22D3",0,0,0,1.5722416791735
"TNIP3",0,0,0,1.57191221062494
"KIF4A",0,0,0,1.57120380169128
"TAPBP",0,0,0,1.56919609559832
"PRC1",0,0,0,1.56853572969406
"PRKD2",0,0,0,1.56819464473869
"CDKN2AIP",0,0,0,1.56647593499748
"BACH2",0,0,0,1.56642363336483
"BATF3",0,0,0,1.56609817071058
"PABPC3",0,0,0,1.566033054445
"H2AFX",0,0,0,1.56234495633723
"SELE",0,0,0,1.56216495317583
"UBE2E1",0,0,0,1.56174540821415
"CST3",0,0,0,1.56169458957497
"HHEX",0,0,0,1.56125913684542
"FCRL2",0,0,0,1.56038948935382
"TIMP2",0,0,0,1.55960415179497
"HDC",0,0,0,1.55941958515413
"SLC16A6",0,0,0,1.55881788113089
"C3",0,0,0,1.55828045823585
"KIF11",0,0,0,1.55739121053998
"IL7",0,0,0,1.55707654499041
"KLF11",0,0,0,1.55682228869604
"NINJ2",0,0,0,1.55679518467679
"NPDC1",0,0,0,1.55666889217996
"TMC6",0,0,0,1.55608341645971
"MMP9",0,0,0,1.5560110673528
"IL1B",0,0,0,1.55480441004403
"IL27RA",0,0,0,1.55471949596685
"SSR2",0,0,0,1.5546296552364
"PNOC",0,0,0,1.55384537352662
"GAS7",0,0,0,1.55366867997353
"MYO9B",0,0,0,1.55296802422579
"CCL11",0,0,0,1.55293404067595
"AGBL2",0,0,0,1.55212726040208
"GEM",0,0,0,1.55160140526876
"GTF2B",0,0,0,1.55096696727123
"SETX",0,0,0,1.55092220859966
"NFKB1",0,0,0,1.55058188441209
"PBK",0,0,0,1.54964689464951
"SELP",0,0,0,1.54915174631252
"ZEB2",0,0,0,1.54855891219729
"ORC6",0,0,0,1.54799812234855
"TIMP1",0,0,0,1.54778926238824
"BLK",0,0,0,1.547450754975
"GLA",0,0,0,1.54694852730302
"DUSP22",0,0,0,1.54549388520759
"KBTBD2",0,0,0,1.54525509040521
"IL2RA",0,0,0,1.54518641527377
"FBXO5",0,0,0,1.54513589998582
"KIF15",0,0,0,1.54475812460652
"MGAT1",0,0,0,1.544698387366
"TOB2",0,0,0,1.54406523088899
"ASPM",0,0,0,1.54363837798256
"ADAMTS1",0,0,0,1.54315860152148
"CITED2",0,0,0,1.54298474380624
"CENPM",0,0,0,1.54256655474669
"CDH5",0,0,0,1.54253432813865
"CDC25B",0,0,0,1.54073649860903
"ASTE1",0,0,0,1.54072183566658
"FANCL",0,0,0,1.54059532892785
"GLUL",0,0,0,1.54057029039094
"NFATC1",0,0,0,1.54002934890541
"HLX",0,0,0,1.53990828980693
"MAD2L1",0,0,0,1.53983884520386
"CCL13",0,0,0,1.5397958540719
"WASF2",0,0,0,1.53892003862524
"ATG12",0,0,0,1.53871960161583
"GALNT6",0,0,0,1.53816749646315
"MELK",0,0,0,1.53744022017653
"CHORDC1",0,0,0,1.53732117449332
"KIF2C",0,0,0,1.53660844532242
"SPRY1",0,0,0,1.53635950777191
"NPAT",0,0,0,1.53602363325088
"LIPA",0,0,0,1.53550835961287
"APBA2",0,0,0,1.53504876402479
"FHL2",0,0,0,1.5343886218144
"QPCT",0,0,0,1.53300864388222
"CXCL6",0,0,0,1.53275772837775
"EDN1",0,0,0,1.53248590865873
"LHFPL2",0,0,0,1.53166749409348
"NXPE3",0,0,0,1.53084475381165
"IL6",0,0,0,1.52863482387393
"SMC4",0,0,0,1.52786386356828
"CNOT2",0,0,0,1.52785617903892
"MX1",0,0,0,1.52736379132843
"COL4A1",0,0,0,1.52675305562039
"INPP4A",0,0,0,1.52644134007281
"INHBA",0,0,0,1.52618051147231
"MYOF",0,0,0,1.52614094981171
"FAS",0,0,0,1.5259905557451
"H1FX",0,0,0,1.52530175029307
"VRK2",0,0,0,1.52521269645368
"ARGLU1",0,0,0,1.52478536972008
"FRAT2",0,0,0,1.52456779900502
"NFE2L3",0,0,0,1.52444340342779
"IL12A",0,0,0,1.5244225274102
"CYBC1",0,0,0,1.52402704282643
"ARID5A",0,0,0,1.52342480413556
"FBN2",0,0,0,1.52218860209634
"CALHM2",0,0,0,1.52215745394788
"CCNB2",0,0,0,1.52193921807412
"SPHK1",0,0,0,1.52151296896603
"MAP7D1",0,0,0,1.52136532398508
"ABCA7",0,0,0,1.52071518624527
"FBXW7",0,0,0,1.52029374067288
"TOPBP1",0,0,0,1.51999377026401
"EFEMP1",0,0,0,1.51988885055842
"LBR",0,0,0,1.5184952651406
"FNBP4",0,0,0,1.51786187891636
"CHI3L2",0,0,0,1.51770830411751
"CDK1",0,0,0,1.51763159935006
"RARRES3",0,0,0,1.51611087486473
"KCNMA1",0,0,0,1.5159483940627
"TICAM1",0,0,0,1.51481620678724
"GRB2",0,0,0,1.51462833833176
"MYCBP2",0,0,0,1.51459376014279
"TM6SF1",0,0,0,1.51401445109864
"CENPE",0,0,0,1.51383525083264
"TSPAN13",0,0,0,1.51264486648248
"BCAT1",0,0,0,1.51257381490142
"STAT5A",0,0,0,1.51250663290863
"CCNB1",0,0,0,1.51183389643492
"MCM5",0,0,0,1.51143734902437
"DENND5A",0,0,0,1.51094099219271
"ZNF211",0,0,0,1.51070651435298
"BMP2K",0,0,0,1.50972453484302
"ARHGAP17",0,0,0,1.50859729684422
"NEDD9",0,0,0,1.50832738358524
"DEGS1",0,0,0,1.50804227393207
"OSER1",0,0,0,1.50788459516941
"APOBEC3F",0,0,0,1.50788157890618
"CPVL",0,0,0,1.50718092546949
"ITPKC",0,0,0,1.50618707162704
"LHFPL6",0,0,0,1.50449832868638
"NAP1L1",0,0,0,1.50424810742371
"IL4R",0,0,0,1.50413412619091
"C5AR1",0,0,0,1.50355445200569
"PAK3",0,0,0,1.50271747596656
"BUB1B",0,0,0,1.50206432707982
"HIVEP3",0,0,0,1.50116616653209
"CD14",0,0,0,1.50105812943654
"WDR82",0,0,0,1.50040446182813
"ABCC1",0,0,0,1.50023789286204
